apple,orange
avocado,orange
bacon,red
basil,limegreen
bay lea,limegreen
beans,green
beef,red
bell pepper,green
black pepper,limegreen
bouillon,tan
bread,bisque
bread crumbs,bisque
broccoli,green
broth,tan
butter,yellow
carrot,green
cayenne pepper,limegreen
celery,green
cheese,yellow
chicken,red
chile peppers,green
chili powder,limegreen
cilantro,limegreen
corn,green
cream,yellow
cucumber,green
cumin,limegreen
dressing,yellow
egg,yellow
flour,lightgrey
garlic,limegreen
ginger,limegreen
ham,red
honey,darkgoldenrod
lemon,orange
lettuce,green
lime,orange
mayonnaise,yellow
milk,yellow
mushroom,green
mustard,darkgoldenrod
noodles,bisque
oil,gold
olives,green
onion,green
oregano,limegreen
paprika,green
parsley,green
pasta,bisque
peas,green
pork,red
potatoe,green
red pepper,green
rice,bisque
roast,red
rosemary,limegreen
sage,limegreen
salsa,darkgoldenrod
salt,blue
salt and ground black pepper,blue
sauce,darkgoldenrod
spinach,green
stock,tan
sugar,darkgoldenrod
thyme,limegreen
tomato,green
vinegar,darkgoldenrod
water,lavender
wine,darkgoldenrod
zucchini,green
