recipe_name,niacin,vitaminB6,vitaminC,sodium,carbohydrates,sugars,calories,thiamin,caloriesFromFat,folate,calcium,fiber,fat,iron,cholesterol,protein,vitaminA,potassium,saturatedFat,magnesium,apple,avocado,bacon,basil,bay lea,beans,beef,bell pepper,black pepper,bouillon,bread,bread crumbs,broccoli,broth,butter,carrot,cayenne pepper,celery,cheese,chicken,chile peppers,chili powder,cilantro,corn,cream,cucumber,cumin,dressing,egg,flour,garlic,ginger,ham,honey,lemon,lettuce,lime,mayonnaise,milk,mushroom,mustard,noodles,oil,olives,onion,oregano,paprika,parsley,pasta,peas,pork ,potatoe,red pepper,rice,roast,rosemary,sage,salsa,salt,salt and ground black pepper,sauce,spinach,stock,sugar,thyme,tomato,vinegar,water,wine,zucchini,category
'Chinese' Pie,9.882318,0.6383533,18.87033,927.5983,57.2045,8.907666,412.1417,0.2105567,117.5564,95.90501,52.86,4.671166,13.06182,2.361717,52.35834,20.2769,144.85,865.0967,4.26674,68.295,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Casseroles
'Pizza' Shepherd's Pie,7.025798,0.1787975,0.018375,1254.616,34.78827,9.085212,423.0161,0.03404204,165.1189,8.288751,300.369,1.904333,18.34655,2.72627,69.74667,28.42499,181.4383,456.1183,7.880031,19.69975,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
3 Cheese Enchiladas,10.81771,0.3713092,4.3405,1902.301,65.2446,4.750616,852.325,0.6038017,450.5633,153.9233,800.9642,5.566,50.06258,5.084867,132.4083,36.77172,1814.193,669.3008,28.85823,75.04083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
3 P Salad,4.914468,0.208208,5.407208,637.2206,10.69693,3.138031,299.7704,0.1818094,241.1843,54.13955,24.81035,3.459331,26.79826,1.163505,6.966667,7.52235,723.4752,248.6446,3.88698,52.97941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vegetable Salads
A Crock of Curried Pork Soup,7.017552,0.727862,15.04605,339.6309,30.05059,1.237551,230.2262,0.4188393,44.3336,90.20261,87.06472,5.294438,4.925956,3.32561,31.84,17.38616,340.4348,637.0325,1.35066,63.52349,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Roasts
Absolutely Fabulous Portobello Mushroom Tortellini,3.412576,0.08644551,1.714875,932.5399,42.24966,3.934093,469.5363,0.05055106,228.4745,14.61287,216.8357,2.675875,25.38605,2.117893,55.04887,18.3352,640.6079,301.6724,11.92671,11.0991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Pasta
Adele's Summer Special,1.474151,0.3063733,81.48401,618.08,12.97873,7.813001,179.1067,0.1251267,124.2828,31.18333,27.51,3.440333,13.8092,0.7149667,0.0,2.1546,1334.84,478.46,1.58438,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Vegetable Salads
After Thanksgiving Casserole,12.05628,0.5959592,11.31867,1913.434,67.51968,8.094299,611.5189,0.3794117,235.5263,121.2658,157.4575,4.124085,26.16958,3.513915,89.33167,25.61519,1041.812,749.8827,13.11314,65.505,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Algerian Flafla (Bell Pepper Salad),0.7304523,0.2245825,74.1445,3.7475,5.230249,2.66315,52.5925,0.06955,32.07578,11.7475,12.44125,1.7615,3.563975,0.3822,0.0,0.97915,459.4575,199.6138,0.5238426,11.0675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Vegetable Salads
Ali's Greek Tortellini Salad,3.244662,0.3174104,21.56818,836.0602,35.67862,4.062315,485.6086,0.119766,272.7672,142.7171,238.6537,3.172776,30.30747,2.595053,195.626,19.83698,5730.676,427.549,10.68589,57.79972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Vegetable Salads
All Day Venison Pot Roast,12.0952,0.7105782,8.0135,1043.374,19.59677,5.788493,342.9641,0.3667577,71.43321,34.2425,69.82204,3.252,7.937023,7.786181,160.7591,46.98455,8511.338,885.7878,2.638245,54.77457,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Roasts
Alligator Pears and Apples,2.804431,0.3346376,13.04311,10.31425,41.36027,27.0556,293.6866,0.1518628,143.3038,89.01608,27.59426,9.013491,15.92264,1.124839,0.0,3.202336,175.5315,721.2191,2.268689,41.20668,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vegetable Salads
Almond Chicken Casserole II,10.55182,0.5420398,2.571401,385.66,37.05894,1.640012,413.2052,0.1812688,200.2289,86.04751,38.46394,1.181382,22.24766,4.147237,45.11042,15.71236,316.286,216.8865,4.699247,38.2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Almond Crusted Pork with Apple-Rosemary Sauce,9.867636,0.5619673,4.269573,100.2971,17.34682,10.00933,443.2201,0.6928723,293.502,11.04887,98.04001,3.874563,32.61133,1.940463,117.5529,23.532,748.8481,559.1347,13.54135,85.13028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Roasts
